brood 37 (48-h) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b37_0_8A.fastq.trim.sam.counts,b37_0_8B.fastq.trim.sam.counts,b37_0_8C.fastq.trim.sam.counts,b37_0_8D.fastq.trim.sam.counts,b37_10_7.5A.fastq.trim.sam.counts,b37_10_7.5B.fastq.trim.sam.counts,b37_10_7.5C.fastq.trim.sam.counts,b37_10_7.5D.fastq.trim.sam.counts,b37_10_8A.fastq.trim.sam.counts,b37_10_8B.fastq.trim.sam.counts,b37_10_8C.fastq.trim.sam.counts,b37_10_8D.fastq.trim.sam.counts,b37_24_7.5A.fastq.trim.sam.counts,b37_24_7.5B.fastq.trim.sam.counts,b37_24_7.5C.fastq.trim.sam.counts,b37_24_7.5D.fastq.trim.sam.counts,b37_24_8A.fastq.trim.sam.counts,b37_24_8B.fastq.trim.sam.counts,b37_24_8C.fastq.trim.sam.counts,b37_24_8D.fastq.trim.sam.counts,b37_48_7.5A.fastq.trim.sam.counts,b37_48_7.5B.fastq.trim.sam.counts,b37_48_7.5C.fastq.trim.sam.counts,b37_48_7.5D.fastq.trim.sam.counts,b37_48_8A.fastq.trim.sam.counts,b37_48_8B.fastq.trim.sam.counts,b37_48_8C.fastq.trim.sam.counts,b37_48_8D.fastq.trim.sam.counts,b37_4_7.5A.fastq.trim.sam.counts,b37_4_7.5B.fastq.trim.sam.counts,b37_4_7.5C.fastq.trim.sam.counts,b37_4_7.5D.fastq.trim.sam.counts,b37_4_8A.fastq.trim.sam.counts,b37_4_8B.fastq.trim.sam.counts,b37_4_8C.fastq.trim.sam.counts,b37_4_8D.fastq.trim.sam.counts
TRINITY_DN10119_c0_g1,4,6,9,1,16,11,15,0,7,7,3,14,3,0,5,0,4,11,0,16,16,18,5,11,10,17,10,13,24,7,3,1,11,0,0,0
TRINITY_DN1011_c0_g1,6,0,3,0,1,2,1,0,0,1,1,7,1,0,0,0,0,1,3,8,2,8,1,2,2,7,2,2,3,8,0,1,5,0,0,0
TRINITY_DN10121_c0_g1,1,1,6,2,2,5,3,0,2,1,0,3,1,0,3,0,1,4,0,4,5,6,1,1,3,6,2,2,1,4,5,0,6,0,1,0
TRINITY_DN10122_c0_g1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0
TRINITY_DN10124_c0_g1,3,8,5,1,3,10,4,0,1,4,2,3,1,0,14,0,0,7,2,12,8,22,3,4,11,19,8,12,6,9,1,5,21,0,1,0
TRINITY_DN10125_c0_g1,8,8,1,0,10,9,16,0,1,1,4,7,1,0,6,0,7,5,0,12,15,29,1,10,5,21,6,15,8,14,9,12,13,0,2,1
TRINITY_DN10126_c0_g1,0,0,2,0,3,0,1,0,0,2,3,6,0,0,1,0,0,0,1,1,2,7,0,2,1,3,6,0,2,0,1,0,3,0,0,0
TRINITY_DN10128_c0_g1,1,3,0,0,2,2,1,0,2,0,0,1,1,0,0,0,0,3,0,4,1,1,0,3,1,4,0,0,0,4,0,0,5,0,0,0
TRINITY_DN10129_c0_g1,13,12,17,1,35,23,32,2,9,14,22,22,15,3,17,12,6,26,11,40,51,65,13,13,16,37,16,19,37,28,14,12,50,4,5,4
TRINITY_DN10132_c0_g1,2,2,6,0,1,3,6,0,0,0,1,1,0,0,5,0,1,2,2,4,2,3,1,1,5,11,3,4,2,5,0,1,2,0,0,0
TRINITY_DN10136_c0_g1,2,1,0,0,4,0,5,0,4,0,0,5,2,0,0,0,0,3,1,0,2,13,1,1,1,2,0,0,0,0,0,0,4,0,0,1
TRINITY_DN10137_c0_g1,19,17,15,3,5,18,15,0,9,5,8,22,9,3,9,0,4,18,6,19,12,19,3,8,8,11,5,11,20,22,22,9,27,6,2,0
TRINITY_DN10138_c0_g1,12,17,6,1,35,11,19,4,10,18,19,17,17,1,13,2,14,21,7,32,51,43,2,7,16,24,7,15,59,48,14,6,33,4,2,2
TRINITY_DN10139_c0_g1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0
TRINITY_DN10140_c0_g1,1,5,4,0,8,2,10,0,2,6,10,11,4,0,4,2,5,10,3,29,26,32,4,11,3,16,10,7,19,11,8,8,16,1,1,1
TRINITY_DN10142_c0_g1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10143_c0_g1,0,5,0,0,1,1,1,0,0,0,0,8,4,0,2,0,0,1,1,6,12,4,1,0,0,7,0,7,2,2,11,2,5,0,1,0
TRINITY_DN10144_c0_g1,7,6,8,0,7,7,18,0,11,3,4,13,11,0,15,0,0,31,4,37,12,44,4,4,7,18,4,8,15,33,8,12,26,0,2,0
TRINITY_DN1014_c1_g1,2,3,1,0,1,1,6,0,0,0,0,1,2,0,0,0,1,2,0,8,0,3,2,0,3,9,0,5,4,7,0,0,6,0,0,0
TRINITY_DN10151_c0_g1,24,28,37,7,25,53,37,0,10,26,10,32,15,3,33,0,15,26,16,66,50,117,13,17,68,73,21,49,51,93,24,21,63,2,2,0
TRINITY_DN10152_c0_g1,1,3,2,1,2,3,0,0,1,6,6,5,4,0,4,0,2,2,0,9,9,11,0,0,3,5,3,3,6,11,2,5,3,0,1,0
TRINITY_DN10154_c0_g1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,1,3,0,0,4,0,1,4,0,0,0
TRINITY_DN10155_c0_g1,1,6,1,1,4,1,3,0,0,0,0,3,0,0,2,0,1,2,3,6,0,8,0,1,2,3,2,4,0,4,0,0,2,0,1,0
TRINITY_DN10157_c0_g1,0,4,0,0,3,10,4,0,2,0,1,0,2,0,1,0,1,4,2,6,4,4,0,4,2,6,5,4,6,2,0,1,3,0,0,0
TRINITY_DN10158_c0_g1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN1015_c0_g1,215,249,195,63,103,217,348,8,71,55,71,247,112,5,163,12,23,216,48,335,131,326,28,75,130,342,52,209,169,426,114,178,479,8,56,2
TRINITY_DN10161_c0_g1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0
TRINITY_DN10162_c0_g1,5,11,12,4,9,8,18,1,4,3,5,20,5,1,5,0,4,14,0,19,17,33,3,7,9,24,7,14,26,28,4,4,25,1,1,0
TRINITY_DN10163_c0_g1,1,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0
TRINITY_DN10164_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0
TRINITY_DN10166_c0_g1,4,5,7,0,8,7,3,0,4,2,3,2,1,0,1,4,3,1,0,10,4,9,1,1,3,6,0,10,9,10,8,2,8,3,0,1
TRINITY_DN10168_c0_g1,19,12,13,1,7,9,25,0,6,1,8,28,6,1,11,1,7,17,9,21,22,40,1,13,12,39,8,20,17,26,11,10,23,2,1,1
TRINITY_DN10169_c0_g1,0,0,0,0,0,4,1,0,0,0,1,2,0,0,1,0,0,0,0,2,2,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0
TRINITY_DN10170_c0_g1,10,5,14,3,22,19,17,0,15,3,5,18,6,0,5,0,3,14,1,26,23,35,2,9,13,29,2,15,13,25,9,5,35,6,3,0
TRINITY_DN10171_c0_g1,12,6,8,5,9,17,16,0,10,1,3,15,14,0,10,0,2,12,2,28,15,59,2,2,5,17,9,19,16,23,3,6,27,0,1,0
TRINITY_DN10173_c0_g1,6,5,5,0,8,4,9,0,6,1,2,9,3,0,3,0,2,7,2,20,16,20,0,10,7,9,6,9,9,18,3,5,11,0,1,0
TRINITY_DN10174_c0_g1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,4,1,0,3,2,1,0,0,3,2,1,0,1,0,0,0,0,0,0
TRINITY_DN10175_c0_g1,8,9,3,3,3,4,28,0,17,5,0,28,16,0,15,0,0,21,0,53,1,62,4,13,6,18,5,11,3,35,1,15,39,0,4,0
TRINITY_DN10176_c0_g1,23,30,29,10,26,48,45,0,8,17,37,41,15,0,24,3,12,28,11,61,52,108,7,28,25,71,19,64,38,66,26,27,89,2,7,1
